prompt,topics,labels
"And finally, how long is the drive from Fairfield, California to this restaurant?","Conversation about restaurants, things like ratings, opinions, food options, menu, suggestions, addresses.",False
"Yes, Sunday 16.","Conversation about booking hotel rooms, the discussion varies from location, ammenities and prices.",False
What place is Tottenham Hotspur in?,"Commoditization of nail clippers, tendencies about why nail clippers will affect global markets and news headers about its repercussions in the economy.",True
I want something from a similar artist.,"Conversation about music, songs, musical taste, authors, singers, bands, genres, music players and music taste.",False
Hi.,"Conversation about music, songs, musical taste, authors, singers, bands, genres, music players and music taste.",False
Okay. And who did they play in their last match?,"Arduinos, microcontrollers, tutorials about low level programming, just about arduino.",True
I would like help finding a movie to go see in the theater.,"Conversation about movies, cinematography, famous actors, filmmakers, awards, movie rental, etc.",False
Thank you.,"Casual conversation at a restaurant, food ordering, different questions about food and the dishes.",False
And what are each team's chances to make playoffs?,Diet advice for teenagers with white hair. Some kids have their hair white and this is a chatbot about dieting advice for that melanin deficiency.,True
"iTunes, please.","Conversation about movies, cinematography, famous actors, filmmakers, awards, movie rental, etc.",False
Is Craigslist Joe available on iTunes?,"Conversation about movies, cinematography, famous actors, filmmakers, awards, movie rental, etc.",False
Excellent. Thank you. Bye.,"Casual conversation at a restaurant, food ordering, different questions about food and the dishes.",False
"I only need one bed, but I would like it to have a balcony view and for it to be a king bed.","Conversation about booking hotel rooms, the discussion varies from location, ammenities and prices.",False
"Assistant, can you hear me?","Conversation about music, songs, musical taste, authors, singers, bands, genres, music players and music taste.",False
Why are you searching? You're supposed to take my order.,"Casual conversation at a restaurant, food ordering, different questions about food and the dishes.",False
Thank you and who is their goalkeeper?,Diet advice for teenagers with white hair. Some kids have their hair white and this is a chatbot about dieting advice for that melanin deficiency.,True
Yeah. Is that movie found on Redbox?,"Conversation about movies, cinematography, famous actors, filmmakers, awards, movie rental, etc.",False
Are they playing right now?,"Instructions that a robot could take, such as, turn left, turn right, jump, as well as the magnitudes associated with it. All instructions are in code, example: turn(45)Greenland politics, news about greenland or discussions about its economy/justice system",True
"That'll just be two people, please.","Casual conversation at a restaurant, food ordering, different questions about food and the dishes.",False
And how about if I'm coming there from Fairfield? How long will that drive be?,"Conversation about restaurants, things like ratings, opinions, food options, menu, suggestions, addresses.",False
Hi. I'm a huge fan of Tampa Bay Rays. What place are the Tampa Bay Rays in?,"Cinematic style of Senegalese movies, techniques of cinematography of Alassane Diago, Alain Gomis.",True
"Yes, I'm watching it now.","Conversation about movies, cinematography, famous actors, filmmakers, awards, movie rental, etc.",False
It does.,"Casual conversation at a restaurant, food ordering, different questions about food and the dishes.",False
